Rank,player,era,P100,TS_plus,BoxCreation,ContextTS,PER,WS_per48,Score_v3
1,Michael Jordan,1990s,36.30434782608695,1.087360594795539,8.762604089219328,6.274739596325874,31.2,0.292,0.9291729947542638
2,LeBron James,2010s,29.278350515463913,1.1164510166358594,12.85213752310536,6.2958334910480565,31.0,0.27,0.39075270149092656
3,James Harden,2010s,31.340206185567006,1.0928571428571427,16.5699,6.566243684363913,27.5,0.218,0.3783446665191982
4,Wilt Chamberlain,1960s,29.047619047619047,1.1395833333333334,4.985677083333334,6.741865919490604,28.5,0.25,0.21738822958216714
5,Shaquille O'Neal,2000s,30.219780219780223,1.1190019193857965,5.47460499040307,6.149422080715449,29.3,0.27,-0.030020393236662446
6,Kevin Durant,2010s,29.072164948453604,1.1527272727272726,7.664483636363635,6.366144440815202,26.8,0.255,-0.0544579015620012
7,Stephen Curry,2010s,28.350515463917525,1.1428571428571428,11.232,6.3836525914372295,24.6,0.228,-0.3048978331918927
8,Kareem Abdul-Jabbar,1970s,28.037383177570092,1.16,4.872,6.13814304166985,27.0,0.248,-0.4062734326068851
9,Kobe Bryant,2000s,33.18681318681319,1.0528301886792453,8.685849056603773,6.048048975034377,25.2,0.198,-0.5163684566036886
10,Luka Doncic,2020s,29.8,1.0350877192982457,16.535526315789475,6.16724685948216,25.5,0.175,-0.6036405751454411
